investor,deg_in,deg_out,betweenness,eigenvector,out_deg_wt,tps,portfolio_size,rank_deg_out,rank_betweenness,rank_eigenvector,rank_tps,rank_divergence
Draper Richards,0.004545454545454545,0.0036363636363636364,0.0,0.043455429902319855,3.0652,0.2440103618118918,23.0,319,644,66,163,156
Tribeca Venture Partners,0.00909090909090909,0.012727272727272728,0.01729478575116159,0.04602985783519101,9.2529,0.2427209464208724,14.0,39,27,60,164,125
Mark Wachen,0.006363636363636364,0.0027272727272727275,0.002177279971268883,0.008348769918205625,1.6758,0.2389895331739463,2.0,429,125,274,165,264
Cox Enterprises,0.004545454545454545,0.0027272727272727275,0.0,0.0134681468473553,1.9653,0.2387155960554704,2.0,429,644,221,166,263
Dave McClure,0.0027272727272727275,0.00909090909090909,0.0006060470023119571,0.03604346071736324,7.848,0.2382408823634138,17.0,83,157,89,167,84
First Ventures,0.0027272727272727275,0.0036363636363636364,0.0,0.0034202601772364873,2.8868,0.236895912144125,1.0,319,644,377,168,151
Peter Lehrman,0.006363636363636364,0.0,0.0,0.005800544624287245,0.0,0.2362986987361111,4.0,934,644,318,169,765
Anthemis Group,0.0036363636363636364,0.005454545454545455,0.0002918004085205719,0.012001443053508495,3.9909,0.2348505123581186,10.0,192,173,231,170,22
Eduardo Saverin,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.562,0.2348061256224629,2.0,575,644,931,171,404
Mike Volpe,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.618,0.2338147760966604,2.0,575,644,931,172,403
Evercore Partners,0.0009090909090909091,0.0018181818181818182,0.0,0.003531197218188186,1.145,0.2336998241691291,2.0,575,644,372,173,402
David Ulevitch,0.0,0.004545454545454545,0.0,6.450860072587633e-20,2.6305,0.2333837443094074,2.0,250,644,931,174,76
Pacific Partners,0.0,0.004545454545454545,0.0,6.450860072587633e-20,2.6305,0.2333837443094074,2.0,250,644,931,174,76
Ariel Poler,0.0,0.006363636363636364,0.0,6.450860072587633e-20,4.0173,0.2270833455083344,15.0,144,644,931,176,32
Lowercase Capital,0.0018181818181818182,0.01,0.0036138358286009293,0.006099538370422046,5.8901,0.2239045560647849,24.0,70,104,310,177,107
WR Hambrecht,0.004545454545454545,0.0,0.0,0.0037947659342659726,0.0,0.2218463252820469,3.0,934,644,365,178,756
DFJ Gotham Ventures,0.01,0.006363636363636364,0.008630558236627686,0.01715452716440236,4.1022,0.2174696591878222,19.0,144,61,182,179,35
Alex Hoye,0.0,0.00909090909090909,0.0,6.450860072587633e-20,4.724,0.2152536033941519,1.0,83,644,931,180,97
David Shen Ventures,0.0,0.00909090909090909,0.0,6.450860072587633e-20,4.724,0.2152536033941519,1.0,83,644,931,180,97
Ram Shriram,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,2.1422999999999996,0.2129484141306754,10.0,429,644,931,182,247
FLOODGATE,0.01,0.019090909090909092,0.010953738412156855,0.038273377114007814,16.5591,0.2109152004210059,78.0,18,51,77,183,165
Stingray Digital,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,0.982,0.2104026560305696,1.0,575,644,931,184,391
Benchmark,0.02,0.034545454545454546,0.029960045790217955,0.23029512184062556,32.3045,0.2091430857744574,117.0,4,14,4,185,181
Felicis Ventures,0.014545454545454545,0.03272727272727273,0.021456682603458208,0.1457080106615664,26.009,0.208557317681388,77.0,5,22,12,186,181
Amicus Capital,0.004545454545454545,0.0036363636363636364,0.0,0.043455429902319855,3.0652,0.2085104847594313,15.0,319,644,66,187,132
Amazon,0.0036363636363636364,0.0036363636363636364,0.0017171331732172119,0.023247367717764898,3.6036,0.2063211144846028,10.0,319,130,137,188,131
